Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18
BETPAP_GR_5,1,,,,,7,7,7,7,9,9,9,9,9,11,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,"100,90","100,90","101,92","101,92","101,92","101,92","102,94",94,94,94,97,97,99
ALNINC_SH_1,1,,,,,,,,7,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,m,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,102,,90,91,93,95
BETPAP_SH_1A,1,,,,,,,7,7,9,9,9,9,9,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101,102,90,91,94,95,95,95,96,97,99
ALNINC_GR_11,1,,,,,,,,,,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,102,90,90,91,92,93,96
BETPOP_WM_7,1,,,,,,,,7,9,9,9,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,101,102,90,92,92,92,92,92,94,95
BETALL_WM_8,1,,,,",7",7,7,7,7,,7,7,9,9,9,11,17,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,"101,90","102,90",91,91,92,94,95
ALNINC_WM_2A,1,,,,,,,,,,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,101,102,90,90,90,91,92,94,96
BETPOP_HF_3,1,,,,,,,,,,,7,9,9,9,"62M/F,19","69-M,65-F,19",69-F,,,,,,,,,71,72,74,75,75,77,77,78,78,"78,100","78,100,100-m","78,100.100-m","78,100,100-m","78,100,100-m","79, 100-m","79,100,100-m","81,100,100-m","85,100,100-m","88,100,100-m","89,100-m,100","81,100-m,100","82,100-m,100","83,100-,100","83,100-m,100","84,100-m,100","84,100-m,100","85,100,100-m","85,101,100-m","85,102,100-m","85,100-m","85,100-m","85,100-m","87,100-m","87,100-m","87,101-m","88,101-m","88, 102-m,95","89,95","89,96"
BETALL_GR_13,1,,,,,,,,,,,7,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,102,,90,92,94,94,96,97,99
ALNINC_WM_5,1,,,,,,,,,,7,7,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,"100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","101,100-m","101,100-m","101,100-m","101,100-m","102,100-m",100-m,"101-m,90","102-m,94",94
